"url","primary_query","secondary_queries","intent","source","monthly_frequency"
"/jyotish/houses/","дома джйотиш значение","джйотиш дома гороскопа | дома триконы джйотиш | дома упачайя джйотиш | дома дхармы","информационный / обзор","Google Suggestions + русскоязычная поисковая выдача, 2026-07-30","н/д"
"/jyotish/houses/1/","1 дом джйотиш значение","первый дом в ведической астрологии | управитель 1 дома | карака 1 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/houses/2/","2 дом джйотиш значение","второй дом в ведической астрологии | управитель 2 дома | карака 2 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/houses/3/","3 дом джйотиш значение","третий дом в ведической астрологии | управитель 3 дома | карака 3 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/houses/4/","4 дом джйотиш значение","четвёртый дом в ведической астрологии | управитель 4 дома | карака 4 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/houses/5/","5 дом джйотиш значение","пятый дом в ведической астрологии | управитель 5 дома | карака 5 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/houses/6/","6 дом джйотиш значение","шестой дом в ведической астрологии | управитель 6 дома | карака 6 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/houses/7/","7 дом джйотиш значение","седьмой дом в ведической астрологии | управитель 7 дома | карака 7 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/houses/8/","8 дом джйотиш значение","восьмой дом в ведической астрологии | управитель 8 дома | карака 8 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/houses/9/","9 дом джйотиш значение","девятый дом в ведической астрологии | управитель 9 дома | карака 9 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/houses/10/","10 дом джйотиш значение","десятый дом в ведической астрологии | управитель 10 дома | карака 10 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/houses/11/","11 дом джйотиш значение","одиннадцатый дом в ведической астрологии | управитель 11 дома | карака 11 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/houses/12/","12 дом джйотиш значение","двенадцатый дом в ведической астрологии | управитель 12 дома | карака 12 дома","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
