"url","primary_query","secondary_queries","intent","source","monthly_frequency"
"/jyotish/nakshatras/","накшатры джйотиш описание","накшатры джйотиш таблица | накшатры джйотиш описание | все накшатры джйотиш | пады накшатр","информационный / обзор","Google Suggestions + русскоязычная поисковая выдача, 2026-07-30","н/д"
"/jyotish/nakshatras/ashwini/","Ашвини накшатра","Ашвини накшатра пады | Ашвини накшатра описание | Ашвини накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/bharani/","Бхарани накшатра","Бхарани накшатра пады | Бхарани накшатра описание | Бхарани накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/krittika/","Криттика накшатра","Криттика накшатра пады | Криттика накшатра описание | Криттика накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/rohini/","Рохини накшатра","Рохини накшатра пады | Рохини накшатра описание | Рохини накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/mrigashira/","Мригашира накшатра","Мригашира накшатра пады | Мригашира накшатра описание | Мригашира накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/ardra/","Ардра накшатра","Ардра накшатра пады | Ардра накшатра описание | Ардра накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/punarvasu/","Пунарвасу накшатра","Пунарвасу накшатра пады | Пунарвасу накшатра описание | Пунарвасу накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/pushya/","Пушья накшатра","Пушья накшатра пады | Пушья накшатра описание | Пушья накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/ashlesha/","Ашлеша накшатра","Ашлеша накшатра пады | Ашлеша накшатра описание | Ашлеша накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/magha/","Магха накшатра","Магха накшатра пады | Магха накшатра описание | Магха накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
