"url","primary_query","secondary_queries","intent","source","monthly_frequency"
"/jyotish/signs/","знаки джйотиш","джйотиш знаки зодиака | подвижные знаки джйотиш | неподвижные знаки джйотиш | двойственные знаки джйотиш","информационный / обзор","Google Suggestions + русскоязычная поисковая выдача, 2026-07-30","н/д"
"/jyotish/signs/mesha/","Овен в джйотиш","Овен ведическая астрология | Овен значение в натальной карте | Овен управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/signs/vrishabha/","Телец в джйотиш","Телец ведическая астрология | Телец значение в натальной карте | Телец управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/signs/mithuna/","Близнецы в джйотиш","Близнецы ведическая астрология | Близнецы значение в натальной карте | Близнецы управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/signs/karka/","Рак в джйотиш","Рак ведическая астрология | Рак значение в натальной карте | Рак управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/signs/simha/","Лев в джйотиш","Лев ведическая астрология | Лев значение в натальной карте | Лев управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/signs/kanya/","Дева в джйотиш","Дева ведическая астрология | Дева значение в натальной карте | Дева управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/signs/tula/","Весы в джйотиш","Весы ведическая астрология | Весы значение в натальной карте | Весы управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/signs/vrischika/","Скорпион в джйотиш","Скорпион ведическая астрология | Скорпион значение в натальной карте | Скорпион управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/signs/dhanu/","Стрелец в джйотиш","Стрелец ведическая астрология | Стрелец значение в натальной карте | Стрелец управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/signs/makara/","Козерог в джйотиш","Козерог ведическая астрология | Козерог значение в натальной карте | Козерог управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/signs/kumbha/","Водолей в джйотиш","Водолей ведическая астрология | Водолей значение в натальной карте | Водолей управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/signs/mina/","Рыбы в джйотиш","Рыбы ведическая астрология | Рыбы значение в натальной карте | Рыбы управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
